Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,POP_2015,POP_2015_M,POP_2015_F,POP_2015_Rur,POP_2015_Urb,POP_2016,POP_2016_M,POP_2016_F,POP_2016_Rur,POP_2016_Urb,POP_2017,POP_2017_M,POP_2017_F,POP_2017_Rur,POP_2017_Urb,POP_2018,POP_2018_M,POP_2018_F,POP_2018_Rur,POP_2018_Urb,POP_2019,POP_2019_M,POP_2019_F,POP_2019_Rur,POP_2019_Urb,Tot_Villag
2.162868569,0.164778846,Buliisa,UG4102,117600,60300,57300,160600,68800,123500,63600,59900,165200,70900,129600,67100,62500,170100,72900,136000,70700,65300,174900,75000,142500,74400,68100,100900,77100,130
1.653935428,0.0691696,Bundibugyo,UG4103,229400,111100,118300,91800,81700,236100,114500,121600,94000,83700,243000,118100,124900,96300,85700,249900,121700,128200,98600,87800,256800,125300,131500,152000,89800,698
1.348796226,0.040480411,Bunyangabu,UG4104,173500,85800,87700,145800,90300,177700,88100,89600,147400,91300,182000,90400,91600,149000,92200,186400,92800,93600,150500,93200,190700,95100,95600,280400,94100,0
1.769565256,0.073535401,Bushenyi,UG4105,236100,115200,120900,249000,82400,238700,116700,122000,256600,84900,241200,118100,123100,264400,87500,243700,119500,124200,272400,90100,246100,120900,125200,213200,92800,654
1.434232304,0.061930726,Busia,UG2035,331400,160500,170900,184600,66700,341500,165700,175800,191500,69200,351900,171100,180800,198500,71700,362500,176600,185900,205800,74300,373200,182100,191100,70000,77000,541
1.311332247,0.053193464,Butaleja,UG2036,251300,123200,128100,66800,34900,260700,128000,132700,67600,35400,270200,132900,137300,68500,35800,280100,138000,142100,69200,36300,290200,143200,147000,87600,36700,414
1.581540971,0.032951561,Butambala,UG1003,101700,50600,51100,82700,30300,103000,51400,51600,84000,30700,104300,52100,52200,85100,31200,105500,52800,52700,86400,31600,106700,53500,53200,89700,32000,140
0.922719222,0.019333647,Butebo,UG2037,113000,54900,58100,69900,24600,114700,55800,58900,74500,26200,116300,56700,59600,79300,27900,118000,57600,60400,84300,29700,119600,58500,61100,296900,31600,0
3.939933433,0.781533339,Buvuma,UG1004,94500,50800,43700,249900,84600,100700,54000,46700,261100,88400,107200,57300,49900,272600,92300,114000,60800,53200,284600,96400,121300,64500,56800,160000,100600,206
1.923593529,0.149941549,Buyende,UG2038,334500,164500,170000,142800,44400,349500,172100,177400,147000,45800,364900,179900,185000,151300,47100,381000,188100,192900,155600,48400,397500,196500,201000,146800,49800,354
1.615376015,0.088307419,Dokolo,UG3073,187200,91600,95600,138400,23300,192800,94500,98300,140500,23600,198400,97400,101000,142600,24000,204000,100300,103700,144800,24300,209800,103300,106500,227000,24600,478
2.315221467,0.135719276,Gomba,UG1005,161700,83300,78400,197300,14100,164100,84800,79300,204300,14600,166600,86400,80200,212000,15100,169100,87900,81200,219400,15600,171400,89400,82000,132000,16200,268
2.11414824,0.152249632,Gulu,UG3074,282000,137800,144200,122600,130600,290500,142000,148500,124900,133100,299100,146300,152800,127300,135500,307800,150600,157200,129600,138100,316600,155000,161600,311900,140600,141
2.885077834,0.215204278,Hoima,UG4106,314300,156100,158200,276900,70500,325700,162000,163700,285500,72600,337500,168100,169400,294100,74800,349600,174400,175200,302900,77100,361800,180700,181100,432400,79400,0
2.104873124,0.078447397,Ibanda,UG4107,253200,123300,129900,375400,124900,258000,125800,132200,389100,129500,262800,128200,134600,403200,134200,267700,130700,137000,417700,139000,272600,133200,139400,140900,143900,617
1.147629566,0.05188202,Iganga,UG2039,347400,166600,180800,132300,94500,358100,172100,186000,134600,96000,368900,177600,191300,136800,97700,380000,183300,196700,138800,99000,391300,189100,202200,102300,100600,0
2.552553833,0.215178928,Isingiro,UG4108,500300,242700,257600,92500,18300,518600,251800,266800,95000,18800,537400,261200,276200,97600,19300,556700,270900,285800,99800,19700,576300,280700,295600,174600,20200,591
1.285666651,0.058856144,Jinja,UG2040,476800,233100,243700,165500,67300,484600,237100,247500,167900,68200,492400,241100,251300,170200,69200,500100,245000,255100,172400,70100,507700,248900,258800,168100,71000,354
4.36456197,0.386419981,Kaabong,UG3075,110800,51500,59300,154500,45700,113800,52900,60900,157900,46600,116900,54500,62400,161400,47700,119500,55700,63800,164700,48700,122500,57300,65200,110900,49700,836
1.185503975,0.050377377,Kabale,UG4109,232800,111300,121500,94300,14400,236100,113100,123000,98100,15000,239400,114900,124500,102100,15600,242500,116600,125900,106400,16300,245600,118300,127300,286800,16900,409
